name,medium,context,description,time,lat,lon,place
Italian,Signage,Food,Signage; Food,2017-07-21 20:24:50 EEST,51.32354882,12.37376142,GERMANY
Italian,Signage,Shopping,Signage; Shopping,2017-07-21 20:26:12 EEST,51.32450469,12.37387609,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-21 20:26:45 EEST,51.3244466,12.37380224,GERMANY
Vietnamese,Billboard,Food,Billboard; Food,2017-07-21 20:27:44 EEST,51.32501502,12.3738258,GERMANY
Turkish,Signage,Food,Signage; Food,2017-07-21 20:28:19 EEST,51.32512537,12.37387005,GERMANY
English,Signage,Service,Signage; Service,2017-07-21 20:32:04 EEST,51.32788352,12.37371943,GERMANY
,Signage,Shopping,Signage; Shopping,2017-07-21 20:39:12 EEST,51.33135065,12.37326832,GERMANY
"Arabic,Turkish,French",Signage,Food,Signage; Food,2017-07-21 20:49:53 EEST,51.33766817,12.37353243,GERMANY
English,Signage,Service,Signage; Service,2017-07-22 10:03:17 EEST,51.32876437,12.37255921,GERMANY
Vietnamese,Signage,Food,Signage; Food,2017-07-22 21:53:20 EEST,51.32992204,12.37358934,GERMANY
Hebrew,Inscription,,Inscription; ,2017-07-22 22:04:32 EEST,51.3411788,12.373452,GERMANY
"Chinese,English",Billboard,Culture,Billboard; Culture,2017-07-22 22:18:59 EEST,51.3345017,12.3657047,GERMANY
English,Poster,Shopping,Poster; Shopping,2017-07-21 23:52:54 EEST,,,GERMANY
